115,신세계,2013-02-21,"34,922,954,285","4,689,539",671,"91,741",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
116,신비한 동물사전,2016-11-16,"39,339,534,058","4,667,179","1,431","115,843",미국,"미국,영국",워너브러더스 코리아(주)
117,도가니,2011-09-22,"35,567,476,000","4,662,926",756,"88,345",한국,한국,(주)씨제이이엔엠
118,쿵푸 팬더,2008-06-05,"29,998,150,000","4,654,266",563,"79,902",미국,미국,CJ ENM
119,내 아내의 모든 것,2012-05-17,"34,224,467,500","4,598,985",563,"91,777",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
120,판도라,2016-12-07,"36,069,197,064","4,585,116","1,184","100,273",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
121,맘마미아!,2008-09-03,"29,697,221,850","4,579,773",451,"111,827",미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
122,나쁜 녀석들: 더 무비,2019-09-11,"39,560,195,124","4,573,902","1,511","113,938",한국,한국,(주)씨제이이엔엠
123,캐리비안의 해적: 세상의 끝에서,2007-05-23,"29,133,447,500","4,571,229",953,"78,007",미국,미국,한국소니픽쳐스릴리징브에나비스타영화㈜
124,가문의 위기(가문의 영광2),2005-09-07,"28,622,355,500","4,529,876",351,"61,009",한국,한국,(주)쇼박스
125,연가시,2012-07-05,"32,176,550,664","4,516,063",759,"71,932",한국,한국,(주)씨제이이엔엠
126,터미네이터 : 미래전쟁의 시작,2009-05-21,"29,690,943,500","4,499,776",702,"93,745",미국,미국,롯데쇼핑㈜롯데엔터테인먼트
127,강철비,2017-12-14,"35,490,646,466","4,452,900","1,426","80,360",한국,한국,(주)넥스트엔터테인먼트월드(NEW)
128,아이언맨 2,2010-04-29,"32,637,290,500","4,425,235",921,"87,672",미국,미국,CJ ENM
129,해리포터와 죽음의 성물2,2011-07-13,"34,668,545,500","4,421,210",757,"70,853",미국,미국,워너브러더스 코리아(주)
130,다만 악에서 구하소서,2020-08-05,"38,602,260,990","4,357,803","1,998","193,842",한국,한국,(주)씨제이이엔엠
131,엑스맨: 데이즈 오브 퓨처 패스트,2014-05-22,"34,654,558,766","4,313,871","1,056","82,722",미국,미국,이십세기폭스코리아(주)
132,강철중: 공공의 적 1-1,2008-06-19,"28,638,465,100","4,313,102",707,"74,158",한국,한국,"CJ ENM,(주)시네마서비스"
133,아이언맨,2008-04-30,"27,880,712,500","4,300,365",592,"78,269",미국,미국,CJ ENM
134,아가씨,2016-06-01,"35,221,312,991","4,289,008","1,171","90,393",한국,한국,(주)씨제이이엔엠
135,박물관이 살아있다!,2006-12-21,"24,401,542,200","4,245,247",345,"56,526",미국,미국,이십세기폭스코리아(주)
136,다크 나이트,2008-08-06,"28,208,421,040","4,228,360",462,"72,855",미국,미국,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)"
137,말아톤,2005-01-27,"26,285,057,000","4,196,859",238,"59,495",한국,한국,(주)쇼박스
138,용의자,2013-12-24,"30,037,521,000","4,131,338",807,"69,124",한국,한국,(주)쇼박스
139,건축학개론,2012-03-22,"30,245,688,400","4,114,160",593,"106,697",한국,한국,롯데쇼핑㈜롯데엔터테인먼트
